0	13
1	3
2	3
3	8
4	94
5	8
6	8
7	23
8	114
9	6
10	18
11	5
12	20
13	3
14	11
15	16
16	8
17	2
18	18
19	3
20	36
21	8
22	27
23	8
24	11
25	6
26	17
27	1
28	9
29	34
30	17
31	6
32	7
33	23
34	12
35	38
36	17
37	19
38	4
39	6
40	93
41	13
42	26
43	25
44	124
45	3
46	3
47	21
48	6
49	3
50	7
51	3
52	6
53	22
54	22
55	15
56	19
57	9
58	5
59	4
60	5
61	8
62	152
63	28
64	8
65	10
66	5
67	5
68	6
69	23
70	1
71	46
72	7
73	26
74	3
75	15
76	7
77	5
78	7
79	60
80	7
81	3
82	34
83	24
84	10
85	9
86	18
87	24
88	3
89	139
90	15
91	10
92	30
93	17
94	10
95	27
96	1
97	8
98	9
99	26
100	1953
101	97
102	2
103	6
104	13
105	2
106	55
107	1
108	78
109	12
110	5
111	9
112	10
113	2
114	8
115	14
116	10
117	24
118	45
119	30
120	4
121	45
122	4
123	5
124	8
125	3
126	18
127	1
128	28
129	6
130	4
131	23
132	2
133	18
134	30
135	36
136	22
137	3
138	15
139	41
140	9
141	5
142	8
143	2
144	6
145	33
146	23
147	17
148	58
149	6
150	11
151	23
152	3
153	452
154	4
155	2
156	13
157	100
158	6
159	7
160	1
161	4
162	12
163	3
164	56
165	3
166	47
167	9
168	20
169	15
170	9
171	35
172	9
173	62
174	6
175	9
176	20
177	14
178	29
179	1064
180	5
181	20
182	1
183	22
184	18
185	10
186	9
187	67
188	22
189	4
190	16
191	6
192	40
193	9
194	13
195	29
196	13
197	61
198	17
199	36
200	9
201	10
202	6
203	3
204	29
205	6
206	7
207	15
208	28
209	6
210	11
211	217
212	4
213	3
214	3
215	25
216	750
217	30
218	1
219	64
220	9
221	11
222	13
223	5
224	7
225	15
226	51
227	13
228	7
229	30
230	7
231	25
232	4
233	8
234	2
235	23
236	9
237	11
238	7
239	54
240	135
241	17
242	2
243	708
244	9
245	13
246	9
247	26
248	14
249	41
250	14
251	85
252	2
253	9
254	18
255	107
256	14
257	6
258	22
259	2
260	6
261	12
262	191
263	26
264	9
265	15
266	18
267	13
268	26
269	5
270	17
271	39
272	25
273	7
274	33
275	27
276	6
277	5
278	17
279	10
280	37
281	49
282	7
283	4
284	12
285	4
286	34
287	11
288	6
289	11
290	4
291	3
292	70
293	22
294	5
295	41
296	5
297	78
298	122
299	11
300	15
301	6
302	28
303	25
304	5
305	36
306	12
307	102
308	5
309	1
310	36
311	66
312	196
313	48
314	49
315	32
316	86
317	81
318	133
319	186
320	73
321	350
322	6
323	1882
324	3
325	21
326	11
327	1293
328	48
329	8
330	35
331	594
332	72
333	5
334	17
335	21
336	9
337	4
338	28
339	5
340	15
341	7
342	4
343	3
344	10
345	19
346	18
347	40
348	9
349	12
350	6
351	4
352	14
353	6
354	76
355	10
356	1
357	52
358	47
359	3
360	13
361	14
362	18
363	19
364	5
365	7
366	791
367	25
368	15
369	8
370	18
371	34
372	1
373	16
374	16
375	26
376	5
377	12
378	17
379	7
380	107
381	7
382	20
383	98
384	4
385	3
386	17
387	1
388	19
389	10
390	17
391	10
392	8
393	4
394	28
395	29
396	38
397	29
398	7
399	117
400	13
401	25
402	22
403	8
404	7
405	2
406	16
407	3
408	6
409	59
410	9
411	60
412	14
413	17
414	8
415	6
416	8
417	4
418	4
419	7
420	8
421	16
422	20
423	68
424	2
425	5
426	13
427	71
428	3
429	12
430	17
431	3
432	10
433	66
434	10
435	25
436	11
437	16
438	22
439	13
440	11
441	57
442	9
443	30
444	16
445	20
446	3
447	14
448	10
449	4
450	11
451	7
452	7
453	13
454	28
455	18
456	13
457	3
458	11
459	14
460	7
461	3
462	236
463	39
464	4
465	15
466	5
467	9
468	17
469	7
470	3
471	46
472	7
473	4
474	19
475	14
476	5
477	58
478	16
479	5
480	24
481	34
482	10
483	2
484	187
485	22
486	7
487	11
488	2
489	25
490	9
491	8
492	5
493	14
494	4
495	5
496	11
497	2
498	17
499	11

Mean cluster size 41.39 for 500 clusters
-----------------------


